metric,LR-CNN-only (lighting-robust),Hybrid-LR,diff
diabetes_recall,0.9209302325581395,0.958139534883721,0.0372
fnr,0.0790697674418604,0.041860465116279,-0.0372
specificity,0.883248730964467,0.868020304568528,-0.0152
ppv,0.8959276018099548,0.8879310344827587,-0.008
npv,0.9109947643979056,0.95,0.039
f1,0.908256880733945,0.9217002237136463,0.0134
balanced_accuracy,0.9020894817613032,0.9130799197261243,0.011
accuracy,0.9029126213592232,0.9150485436893204,0.0121
brier,0.0810266437487212,0.0621240204082109,-0.0189
roc_auc,0.9600755518828946,0.970227836146854,0.0102
pr_auc,0.9624333267934432,0.9698936772184928,0.0075
