Canonical Symptom,Patient Expression 1,Patient Expression 2,Patient Expression 3,Patient Expression 4,Patient Expression 5,Patient Expression 6
Fatigue,tired,exhausted,drained,no energy,always sleepy,feel weak all the time
Shortness of breath,breathless,hard to breathe,can�t breathe well,out of breath,breathing difficulty,
Pale skin,skin looks pale,face is pale,lost color,lighter than usual,pale face,
Weakness,feel weak,weak body,no strength,shaky,muscles feel weak,
Frequent infections,get sick often,catch infections easily,always getting ill,frequent illness,,
Rapid or irregular heartbeats,fast heartbeat,heart racing,irregular heartbeat,heart beating fast,palpitations,
Prolonged bleeding,bleeding takes long to stop,bleed a lot from small cuts,slow blood clotting,long bleeding time,,
Bruising,bruise easily,bruises appear quickly,unexplained bruises,bruises without injury,,
Jaundice,yellow skin,yellow eyes,eyes look yellow,skin turning yellow,,
Decreased exercise tolerance,get tired quickly when walking,can�t exercise much,feel exhausted after small effort,low stamina,,
Weight loss,losing weight,dropped weight,getting thinner,weight going down,losing weight without trying,
Restlessness,can�t relax,feel restless,uneasy feeling,always moving,nervous for no reason,
Lethargy,very slow,no motivation,feel lazy,heavy body,lack of activity,
Irregular sugar level,sugar levels not stable,blood sugar goes up and down,high sugar sometimes,low sugar sometimes,,
Blurred and distorted vision,blurry vision,vision not clear,hard to see clearly,eyesight getting worse,distorted vision,
Obesity,overweight,gained a lot of weight,very heavy,obese,weight gain,
Excessive hunger,always hungry,eat a lot,feel hungry all the time,never feel full,,
Increased thirst,always thirsty,drink water a lot,mouth always dry,can�t stop drinking water,,
Polyuria,pee a lot,go to bathroom often,frequent urination,urinate many times,wake up at night to pee,
Frequent urination,pee a lot,go to bathroom often,frequent urination,urinate many times,wake up at night to pee,
Slow healing of wounds,wounds heal slowly,cuts take long to heal,slow recovery,injuries heal slowly,,
New spot on skin,new spot appeared,this wasn’t there before,got a new mark,new mole showed up,new bump on skin,strange new spot
Mole changing over time,mole is changing,it looks different now,not the same anymore,keeps changing over time,mole is evolving,it changed recently
Mole with uneven shape,not evenly shaped,looks weird in shape,lopsided mole,shape is off,doesn’t look normal,uneven shape
Different colors in one spot,has different colors,patchy color,brown and black mixed,not one color,has dark and light areas,color looks uneven
Spot getting bigger,getting bigger over time,it’s growing,larger than before,keeps increasing in size,spreading slowly,wider than before
Sore that won’t heal,won’t heal,keeps coming back,doesn’t close,stays open for long,heals then opens again,lasting for weeks
Spot that bleeds or scabs,bleeds easily,starts bleeding randomly,keeps scabbing,oozes sometimes,bleeds when touched,crust forms again
Itchy spot on skin,itchy spot,keeps itching there,can’t stop scratching,irritated skin,itchy mole,feels itchy all the time
Painful or sensitive spot,hurts when touched,pain in that area,sore spot,feels sensitive,aches sometimes,tender to touch
Rough or dry patch,rough patch,feels like sandpaper,scaly skin,dry patch that won’t go away,crusty area,peeling skin
Shiny or smooth bump,shiny bump,looks like a pearl,smooth lump,glassy looking spot,skin colored bump,waxy bump
Red patch that won’t go away,red spot stays,always looks irritated,red area on skin,doesn’t fade,looks like a rash that stays,persistent redness
