symptom_name,disease_name,expressions
fatigue,Diabetes,"tired, exhausted, drained, no energy, always sleepy, feel weak all the time"
weight loss,Diabetes,"losing weight, dropped weight, getting thinner, weight going down, losing weight without trying"
restlessness,Diabetes,"can't relax, feel restless, uneasy feeling, always moving, nervous for no reason"
lethargy,Diabetes,"very slow, no motivation, feel lazy, heavy body, lack of activity"
irregular sugar level,Diabetes,"sugar levels not stable, blood sugar goes up and down, high sugar sometimes, low sugar sometimes"
blurred and distorted vision,Diabetes,"blurry vision, vision not clear, hard to see clearly, eyesight getting worse, distorted vision"
obesity,Diabetes,"overweight, gained a lot of weight, very heavy, obese, weight gain"
excessive hunger,Diabetes,"always hungry, eat a lot, feel hungry all the time, never feel full"
increased thirst,Diabetes,"always thirsty, drink water a lot, mouth always dry, can't stop drinking water"
polyuria,Diabetes,"pee a lot, go to bathroom often, frequent urination, urinate many times, wake up at night to pee"
frequent urination,Diabetes,"pee a lot, go to bathroom often, frequent urination, urinate many times, wake up at night to pee"
slow healing of wounds,Diabetes,"wounds heal slowly, cuts take long to heal, slow recovery, injuries heal slowly"
new spot on skin,Skin Cancer,"new spot appeared, this wasn’t there before, got a new mark, new mole showed up, new bump on skin, strange new spot"
mole changing over time,Skin Cancer,"mole is changing, it looks different now, not the same anymore, keeps changing over time, mole is evolving, it changed recently"
mole with uneven shape,Skin Cancer,"not evenly shaped, looks weird in shape, lopsided mole, shape is off, doesn’t look normal, uneven shape"
different colors in one spot,Skin Cancer,"has different colors, patchy color, brown and black mixed, not one color, has dark and light areas, color looks uneven"
spot getting bigger,Skin Cancer,"getting bigger over time, it’s growing, larger than before, keeps increasing in size, spreading slowly, wider than before"
sore that won’t heal,Skin Cancer,"won’t heal, keeps coming back, doesn’t close, stays open for long, heals then opens again, lasting for weeks"
spot that bleeds or scabs,Skin Cancer,"bleeds easily, starts bleeding randomly, keeps scabbing, oozes sometimes, bleeds when touched, crust forms again"
itchy spot on skin,Skin Cancer,"itchy spot, keeps itching there, can’t stop scratching, irritated skin, itchy mole, feels itchy all the time"
painful or sensitive spot,Skin Cancer,"hurts when touched, pain in that area, sore spot, feels sensitive, aches sometimes, tender to touch"
rough or dry patch,Skin Cancer,"rough patch, feels like sandpaper, scaly skin, dry patch that won’t go away, crusty area, peeling skin"
shiny or smooth bump,Skin Cancer,"shiny bump, looks like a pearl, smooth lump, glassy looking spot, skin colored bump, waxy bump"
red patch that won’t go away,Skin Cancer,"red spot stays, always looks irritated, red area on skin, doesn’t fade, looks like a rash that stays, persistent redness"
