metric,value
total_rows_loaded,20720
reconciliation_eligible_rows,20720
metadata_matched_rows,20720
missing_age_approx,408
missing_sex,358
missing_anatom_site_general,2293
missing_lesion_id,1886
duplicate_hash_group_count,28
repeated_canonical_id_group_count,0
repeated_lesion_id_group_count,3954
suffix_downsampled_count,1690
decode_failure_count,0
quality_candidate_count,1879
review_queue_row_count,14809
eligible_class_NV,12875
eligible_class_MEL,4522
eligible_class_BCC,3323
review_queue_class_NV,7727
review_queue_class_MEL,4092
review_queue_class_BCC,2990
