full_path,canonical_match_id,final_authoritative_label,review_type,review_reason,suggested_action,manual_decision,manual_reason,reviewer_notes
C:\SKIN CANCER v2\DS\NV\ISIC_0000017_downsampled.jpg,ISIC_0000017_downsampled,NV,duplicate_family,downsampled_variant,review_manual,,,
C:\SKIN CANCER v2\DS\NV\ISIC_0000018_downsampled.jpg,ISIC_0000018_downsampled,NV,duplicate_family,downsampled_variant,review_manual,,,
C:\SKIN CANCER v2\DS\NV\ISIC_0000019_downsampled.jpg,ISIC_0000019_downsampled,NV,duplicate_family,downsampled_variant,review_manual,,,
C:\SKIN CANCER v2\DS\NV\ISIC_0000020_downsampled.jpg,ISIC_0000020_downsampled,NV,duplicate_family,downsampled_variant,review_manual,,,
C:\SKIN CANCER v2\DS\NV\ISIC_0000021_downsampled.jpg,ISIC_0000021_downsampled,NV,duplicate_family,downsampled_variant,review_manual,,,
C:\SKIN CANCER v2\DS\NV\ISIC_0000023_downsampled.jpg,ISIC_0000023_downsampled,NV,duplicate_family,downsampled_variant,review_manual,,,
C:\SKIN CANCER v2\DS\NV\ISIC_0000024_downsampled.jpg,ISIC_0000024_downsampled,NV,duplicate_family,downsampled_variant,review_manual,,,
C:\SKIN CANCER v2\DS\NV\ISIC_0000025_downsampled.jpg,ISIC_0000025_downsampled,NV,duplicate_family,downsampled_variant,review_manual,,,
C:\SKIN CANCER v2\DS\NV\ISIC_0000027_downsampled.jpg,ISIC_0000027_downsampled,NV,duplicate_family,downsampled_variant,review_manual,,,
C:\SKIN CANCER v2\DS\NV\ISIC_0000028_downsampled.jpg,ISIC_0000028_downsampled,NV,duplicate_family,downsampled_variant,review_manual,,,
C:\SKIN CANCER v2\DS\NV\ISIC_0000032_downsampled.jpg,ISIC_0000032_downsampled,NV,duplicate_family,downsampled_variant,review_manual,,,
C:\SKIN CANCER v2\DS\NV\ISIC_0000034_downsampled.jpg,ISIC_0000034_downsampled,NV,duplicate_family,downsampled_variant,review_manual,,,
C:\SKIN CANCER v2\DS\NV\ISIC_0000037_downsampled.jpg,ISIC_0000037_downsampled,NV,duplicate_family,downsampled_variant,review_manual,,,
C:\SKIN CANCER v2\DS\NV\ISIC_0000038_downsampled.jpg,ISIC_0000038_downsampled,NV,duplicate_family,downsampled_variant,review_manual,,,
C:\SKIN CANCER v2\DS\NV\ISIC_0000039_downsampled.jpg,ISIC_0000039_downsampled,NV,duplicate_family,downsampled_variant,review_manual,,,
C:\SKIN CANCER v2\DS\NV\ISIC_0000041_downsampled.jpg,ISIC_0000041_downsampled,NV,duplicate_family,downsampled_variant,review_manual,,,
C:\SKIN CANCER v2\DS\NV\ISIC_0000042_downsampled.jpg,ISIC_0000042_downsampled,NV,duplicate_family,downsampled_variant,review_manual,,,
C:\SKIN CANCER v2\DS\NV\ISIC_0000044_downsampled.jpg,ISIC_0000044_downsampled,NV,duplicate_family,downsampled_variant,review_manual,,,
C:\SKIN CANCER v2\DS\NV\ISIC_0000045_downsampled.jpg,ISIC_0000045_downsampled,NV,duplicate_family,downsampled_variant,review_manual,,,
C:\SKIN CANCER v2\DS\NV\ISIC_0000047_downsampled.jpg,ISIC_0000047_downsampled,NV,duplicate_family,downsampled_variant,review_manual,,,
C:\SKIN CANCER v2\DS\NV\ISIC_0000048_downsampled.jpg,ISIC_0000048_downsampled,NV,duplicate_family,downsampled_variant,review_manual,,,
C:\SKIN CANCER v2\DS\NV\ISIC_0000050_downsampled.jpg,ISIC_0000050_downsampled,NV,duplicate_family,downsampled_variant,review_manual,,,
