final_authoritative_label,missing_pattern,row_count
BCC,none_missing,3235
BCC,anatom_site_general,68
BCC,age_approx|sex,6
MEL,none_missing,4083
MEL,lesion_id,245
MEL,anatom_site_general,71
MEL,age_approx|sex|anatom_site_general|lesion_id,36
MEL,age_approx|sex|lesion_id,32
MEL,anatom_site_general|lesion_id,20
MEL,age_approx|sex,13
MEL,age_approx|lesion_id,4
NV,none_missing,9733
NV,anatom_site_general,1496
NV,lesion_id,886
NV,anatom_site_general|lesion_id,429
NV,age_approx|sex|anatom_site_general|lesion_id,115
NV,age_approx|sex|lesion_id,78
NV,age_approx|sex|anatom_site_general,41
NV,age_approx|lesion_id,39
NV,age_approx|sex,27
NV,age_approx,5
NV,age_approx|anatom_site_general,1
NV,age_approx|anatom_site_general|lesion_id,1
