full_path,file_name_with_extension,normalized_id,class_label,family_id,duplicate_hash_group,final_decision,final_exclusion_reason,notes
C:\SKIN CANCER v2\DS\NV\ISIC_0012127_downsampled.jpg,ISIC_0012127_downsampled.jpg,ISIC_0012127,NV,FAM_ISIC_0012127,7675fa6a4beaf4a1cf77d9be3dfdc10ea525cd7532831d165e95c164b756cfcf,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\NV\ISIC_0012970_downsampled.jpg,ISIC_0012970_downsampled.jpg,ISIC_0012970,NV,FAM_ISIC_0012970,7675fa6a4beaf4a1cf77d9be3dfdc10ea525cd7532831d165e95c164b756cfcf,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\NV\ISIC_0024366.jpg,ISIC_0024366.jpg,ISIC_0024366,NV,FAM_ISIC_0024366,b8b37d24e294c5182a1884741c109d8b3bc58edaa993e8c331bd2a15e3e603e6,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\NV\ISIC_0024777.jpg,ISIC_0024777.jpg,ISIC_0024777,NV,FAM_ISIC_0024777,b1780747e0ccd3d31652bcf942a0f4bb22af6e058a5dc8b84202e997b7247b8d,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\NV\ISIC_0029861.jpg,ISIC_0029861.jpg,ISIC_0029861,NV,FAM_ISIC_0029861,b8b37d24e294c5182a1884741c109d8b3bc58edaa993e8c331bd2a15e3e603e6,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\NV\ISIC_0029938.jpg,ISIC_0029938.jpg,ISIC_0029938,NV,FAM_ISIC_0029938,b1780747e0ccd3d31652bcf942a0f4bb22af6e058a5dc8b84202e997b7247b8d,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\NV\ISIC_0054023.jpg,ISIC_0054023.jpg,ISIC_0054023,NV,FAM_ISIC_0054023,c65ac4aa969e2d2372eac7e6a09a828632337ee7dfad443977b77f731b327281,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\NV\ISIC_0054792.jpg,ISIC_0054792.jpg,ISIC_0054792,NV,FAM_ISIC_0054792,0df3bf026e6c40ec426cd9b4e03350b1712308bb23bee3017cf984565ef67c90,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\NV\ISIC_0059354.jpg,ISIC_0059354.jpg,ISIC_0059354,NV,FAM_ISIC_0059354,22c8787f9a26edd86ed6768bac45c4f9f96b97d991c2752b006a2a158025937d,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\NV\ISIC_0059661.jpg,ISIC_0059661.jpg,ISIC_0059661,NV,FAM_ISIC_0059661,5987a33a67363646fac9c0db40625fab7aa4f90534265d4263bedb5dcef8c5f0,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\NV\ISIC_0060997.jpg,ISIC_0060997.jpg,ISIC_0060997,NV,FAM_ISIC_0060997,452fa99d942ec7196cc9f93e51d824aa857a300a03898ac20ce9f7ce10aa7dd8,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
C:\SKIN CANCER v2\DS\NV\ISIC_0062259.jpg,ISIC_0062259.jpg,ISIC_0062259,NV,FAM_ISIC_0062259,89c1771d792f51e4f264623c3b587f8ef88b2019797e7463ba71b7bdf2049a17,pending_review,duplicate_family_pending_review,Flagged for duplicate/family review
