metric,value
total_input_rows,20389.0
total_processed_ok,20389.0
total_failed,0.0
probable_vignette_count,5068.0
strong_circle_count,4123.0
crop_circle_fov,4013.0
crop_occupancy,18.0
crop_total,4031.0
no_crop_fallback,16358.0
suspicious_no_crop,1037.0
crop_rate_pct,19.77
output_images_exist,20389.0
output_images_missing,0.0
train_rows,14332.0
val_rows,3012.0
test_rows,3045.0
jpeg_quality,95.0
dark_threshold,35.0
occupancy_thresh,0.5
circle_min_radius_ratio,0.35
circle_max_radius_ratio,0.75
circle_min_area_ratio,0.25
crop_rate_NV_pct,10.91
circle_fov_NV,1378.0
occupancy_NV,9.0
avg_ar_circle_fov_NV,0.5346
avg_ar_occupancy_NV,0.8873
crop_rate_MEL_pct,30.47
circle_fov_MEL,1343.0
occupancy_MEL,7.0
avg_ar_circle_fov_MEL,0.5038
avg_ar_occupancy_MEL,0.899
crop_rate_BCC_pct,39.8
circle_fov_BCC,1292.0
occupancy_BCC,2.0
avg_ar_circle_fov_BCC,0.5191
avg_ar_occupancy_BCC,0.9578
