original_full_path,preprocessed_full_path,final_authoritative_label,split_assignment,vignette_crop_applied,crop_method,probable_vignette_flag,strong_circle_vignette_flag,vignette_detection_reason,border_dark_fraction,center_corner_contrast,circle_radius_ratio,crop_x1,crop_y1,crop_x2,crop_y2,crop_width,crop_height,crop_area_ratio,crop_confidence_status,output_image_width,output_image_height,processing_error
C:\SKIN CANCER v2\DS\MEL\ISIC_0053533.jpg,C:\SKIN CANCER v2\final DS\images\MEL\ISIC_0053533.jpg,MEL,test,False,no_crop,True,True,border_dark_1.000|contrast_206.5,1.0,206.45,0.351,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
C:\SKIN CANCER v2\DS\NV\ISIC_0071177.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0071177.jpg,NV,train,False,no_crop,True,True,border_dark_1.000|contrast_206.0,1.0,206.03,0.3669,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
C:\SKIN CANCER v2\DS\BCC\ISIC_0067998.jpg,C:\SKIN CANCER v2\final DS\images\BCC\ISIC_0067998.jpg,BCC,val,False,no_crop,True,False,border_dark_1.000|contrast_204.3,1.0,204.32,0.332,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
C:\SKIN CANCER v2\DS\MEL\ISIC_0072287.jpg,C:\SKIN CANCER v2\final DS\images\MEL\ISIC_0072287.jpg,MEL,test,False,no_crop,True,True,border_dark_1.000|contrast_204.1,1.0,204.11,0.3668,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
C:\SKIN CANCER v2\DS\BCC\ISIC_0059162.jpg,C:\SKIN CANCER v2\final DS\images\BCC\ISIC_0059162.jpg,BCC,train,False,no_crop,True,False,border_dark_1.000|contrast_203.5,1.0,203.5,0.3311,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
C:\SKIN CANCER v2\DS\MEL\ISIC_0054159.jpg,C:\SKIN CANCER v2\final DS\images\MEL\ISIC_0054159.jpg,MEL,train,False,no_crop,True,False,border_dark_1.000|contrast_202.9,1.0,202.89,0.3479,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
C:\SKIN CANCER v2\DS\NV\ISIC_0061590.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0061590.jpg,NV,train,False,no_crop,True,False,border_dark_1.000|contrast_202.1,1.0,202.15,0.3481,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
C:\SKIN CANCER v2\DS\NV\ISIC_0065765.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0065765.jpg,NV,val,False,no_crop,True,False,border_dark_1.000|contrast_202.1,1.0,202.08,0.3475,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
C:\SKIN CANCER v2\DS\BCC\ISIC_0060740.jpg,C:\SKIN CANCER v2\final DS\images\BCC\ISIC_0060740.jpg,BCC,train,False,no_crop,True,False,border_dark_1.000|contrast_201.9,1.0,201.88,0.3285,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
C:\SKIN CANCER v2\DS\NV\ISIC_0054998.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0054998.jpg,NV,val,False,no_crop,True,False,border_dark_1.000|contrast_201.3,1.0,201.26,0.3293,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
C:\SKIN CANCER v2\DS\BCC\ISIC_0065699.jpg,C:\SKIN CANCER v2\final DS\images\BCC\ISIC_0065699.jpg,BCC,train,False,no_crop,True,False,border_dark_1.000|contrast_201.2,1.0,201.15,0.327,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
C:\SKIN CANCER v2\DS\MEL\ISIC_0063077.jpg,C:\SKIN CANCER v2\final DS\images\MEL\ISIC_0063077.jpg,MEL,train,False,no_crop,True,False,border_dark_1.000|contrast_201.1,1.0,201.09,0.3283,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
C:\SKIN CANCER v2\DS\BCC\ISIC_0055760.jpg,C:\SKIN CANCER v2\final DS\images\BCC\ISIC_0055760.jpg,BCC,train,False,no_crop,True,False,border_dark_1.000|contrast_200.6,1.0,200.58,0.3454,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
C:\SKIN CANCER v2\DS\NV\ISIC_0062849.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0062849.jpg,NV,val,False,no_crop,True,False,border_dark_1.000|contrast_200.4,1.0,200.43,0.3286,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
C:\SKIN CANCER v2\DS\BCC\ISIC_0064725.jpg,C:\SKIN CANCER v2\final DS\images\BCC\ISIC_0064725.jpg,BCC,train,False,no_crop,True,False,border_dark_1.000|contrast_200.4,1.0,200.37,0.3492,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
C:\SKIN CANCER v2\DS\NV\ISIC_0068875.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0068875.jpg,NV,train,False,no_crop,True,False,border_dark_1.000|contrast_200.2,1.0,200.19,0.3169,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
C:\SKIN CANCER v2\DS\BCC\ISIC_0056083.jpg,C:\SKIN CANCER v2\final DS\images\BCC\ISIC_0056083.jpg,BCC,train,False,no_crop,True,False,border_dark_1.000|contrast_199.9,1.0,199.93,0.3256,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
C:\SKIN CANCER v2\DS\NV\ISIC_0061401.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0061401.jpg,NV,train,False,no_crop,True,True,border_dark_1.000|contrast_199.6,1.0,199.58,0.3617,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
C:\SKIN CANCER v2\DS\NV\ISIC_0065111.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0065111.jpg,NV,test,False,no_crop,True,False,border_dark_1.000|contrast_199.6,1.0,199.55,0.3297,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
C:\SKIN CANCER v2\DS\BCC\ISIC_0065098.jpg,C:\SKIN CANCER v2\final DS\images\BCC\ISIC_0065098.jpg,BCC,train,False,no_crop,True,True,border_dark_1.000|contrast_199.3,1.0,199.33,0.3636,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
C:\SKIN CANCER v2\DS\NV\ISIC_0063965.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0063965.jpg,NV,val,False,no_crop,True,False,border_dark_1.000|contrast_199.2,1.0,199.19,0.3286,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
C:\SKIN CANCER v2\DS\BCC\ISIC_0066487.jpg,C:\SKIN CANCER v2\final DS\images\BCC\ISIC_0066487.jpg,BCC,train,False,no_crop,True,False,border_dark_1.000|contrast_199.0,1.0,198.99,0.3303,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
C:\SKIN CANCER v2\DS\MEL\ISIC_0061369.jpg,C:\SKIN CANCER v2\final DS\images\MEL\ISIC_0061369.jpg,MEL,train,False,no_crop,True,False,border_dark_1.000|contrast_198.8,1.0,198.8,0.3433,0,0,1024,1024,1024,1024,1.0,rejected_all_modes,1024,1024,
