original_full_path,preprocessed_full_path,final_authoritative_label,split_assignment,vignette_crop_applied,crop_method,probable_vignette_flag,strong_circle_vignette_flag,vignette_detection_reason,border_dark_fraction,center_corner_contrast,circle_radius_ratio,crop_x1,crop_y1,crop_x2,crop_y2,crop_width,crop_height,crop_area_ratio,crop_confidence_status,output_image_width,output_image_height,processing_error
C:\SKIN CANCER v2\DS\NV\ISIC_0000000.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000000.jpg,NV,train,False,no_crop,False,False,none,0.0,-158.24,,0,0,1022,767,1022,767,1.0,no_vignette_detected,1022,767,
C:\SKIN CANCER v2\DS\NV\ISIC_0000001.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000001.jpg,NV,train,False,no_crop,False,False,none,0.0,-57.41,,0,0,1022,767,1022,767,1.0,no_vignette_detected,1022,767,
C:\SKIN CANCER v2\DS\NV\ISIC_0000003.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000003.jpg,NV,train,False,no_crop,False,False,none,0.0,-129.49,,0,0,1022,767,1022,767,1.0,no_vignette_detected,1022,767,
C:\SKIN CANCER v2\DS\NV\ISIC_0000007.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000007.jpg,NV,train,False,no_crop,True,False,border_dark_0.214|contrast_54.5,0.21379,54.51,0.776,0,0,1022,767,1022,767,1.0,rejected_all_modes,1022,767,
C:\SKIN CANCER v2\DS\NV\ISIC_0000008.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000008.jpg,NV,train,False,no_crop,False,False,none,0.0,-114.88,,0,0,1022,767,1022,767,1.0,no_vignette_detected,1022,767,
C:\SKIN CANCER v2\DS\NV\ISIC_0000009.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000009.jpg,NV,train,False,no_crop,False,False,none,0.02393,-17.22,,0,0,1022,767,1022,767,1.0,no_vignette_detected,1022,767,
C:\SKIN CANCER v2\DS\NV\ISIC_0000011.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000011.jpg,NV,train,True,circle_fov,True,True,border_dark_0.617|contrast_95.0,0.61707,95.03,0.7011,195,45,895,745,700,700,0.6251,high_circle_fov,700,700,
C:\SKIN CANCER v2\DS\NV\ISIC_0000012.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000012.jpg,NV,train,False,no_crop,False,False,none,0.00814,16.41,,0,0,1022,767,1022,767,1.0,no_vignette_detected,1022,767,
C:\SKIN CANCER v2\DS\NV\ISIC_0000014.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000014.jpg,NV,train,False,no_crop,False,False,none,0.01959,7.73,,0,0,1022,767,1022,767,1.0,no_vignette_detected,1022,767,
C:\SKIN CANCER v2\DS\NV\ISIC_0000015.jpg,C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000015.jpg,NV,train,False,no_crop,False,False,none,0.02133,-27.7,,0,0,1022,767,1022,767,1.0,no_vignette_detected,1022,767,
