val_pr_auc,val_roc_auc,threshold,accuracy,cancer_precision,cancer_recall,specificity,cancer_f1,false_positives,false_negatives,TP,TN,FP,FN,selected
0.9018,0.92952,0.01,0.61355,0.49166,0.99467,0.386,0.65805,1158,6,1120,728,1158,6,
0.9018,0.92952,0.02,0.65372,0.51929,0.99201,0.45175,0.68172,1034,9,1117,852,1034,9,
0.9018,0.92952,0.03,0.67497,0.53549,0.9849,0.48993,0.69378,962,17,1109,924,962,17,
0.9018,0.92952,0.04,0.69256,0.55005,0.97602,0.52333,0.70359,899,27,1099,987,899,27,
0.9018,0.92952,0.05,0.70651,0.56244,0.96803,0.55037,0.71149,848,36,1090,1038,848,36,
0.9018,0.92952,0.06,0.72112,0.57614,0.96092,0.57794,0.72037,796,44,1082,1090,796,44,
0.9018,0.92952,0.07,0.72975,0.58534,0.95027,0.59809,0.72444,758,56,1070,1128,758,56,
0.9018,0.92952,0.08,0.74203,0.59787,0.94671,0.61983,0.7329,717,60,1066,1169,717,60,
0.9018,0.92952,0.09,0.74867,0.60585,0.93783,0.63574,0.73614,687,70,1056,1199,687,70,
0.9018,0.92952,0.1,0.75963,0.61796,0.93517,0.65483,0.74417,651,73,1053,1235,651,73,
0.9018,0.92952,0.11,0.76793,0.62807,0.92984,0.67126,0.74973,620,79,1047,1266,620,79,
0.9018,0.92952,0.12,0.7759,0.63809,0.9254,0.68664,0.75535,591,84,1042,1295,591,84,
0.9018,0.92952,0.13,0.78486,0.64938,0.92274,0.70255,0.76229,561,87,1039,1325,561,87,
0.9018,0.92952,0.14,0.78818,0.65463,0.91741,0.71103,0.76405,545,93,1033,1341,545,93,
0.9018,0.92952,0.15,0.79084,0.65918,0.91208,0.71845,0.76528,531,99,1027,1355,531,99,
0.9018,0.92952,0.16,0.79449,0.66472,0.90853,0.72641,0.76773,516,103,1023,1370,516,103,
0.9018,0.92952,0.17,0.7988,0.67196,0.90231,0.73701,0.77028,496,110,1016,1390,496,110,high_recall
0.9018,0.92952,0.18,0.80113,0.67625,0.89787,0.74337,0.77146,484,115,1011,1402,484,115,
0.9018,0.92952,0.19,0.80578,0.68314,0.89609,0.75186,0.77526,468,117,1009,1418,468,117,
0.9018,0.92952,0.2,0.8081,0.6869,0.89432,0.75663,0.77701,459,119,1007,1427,459,119,
0.9018,0.92952,0.21,0.80976,0.69082,0.88899,0.76246,0.77748,448,125,1001,1438,448,125,
0.9018,0.92952,0.22,0.81408,0.69763,0.88721,0.77041,0.78108,433,127,999,1453,433,127,
0.9018,0.92952,0.23,0.81607,0.70113,0.88544,0.77466,0.78257,425,129,997,1461,425,129,
0.9018,0.92952,0.24,0.82039,0.70819,0.88366,0.78261,0.78625,410,131,995,1476,410,131,
0.9018,0.92952,0.25,0.82371,0.71357,0.88277,0.78844,0.7892,399,132,994,1487,399,132,
0.9018,0.92952,0.26,0.82404,0.71532,0.87922,0.79109,0.78884,394,136,990,1492,394,136,
0.9018,0.92952,0.27,0.82703,0.72064,0.87744,0.79692,0.79135,383,138,988,1503,383,138,
0.9018,0.92952,0.28,0.83001,0.72574,0.87655,0.80223,0.79405,373,139,987,1513,373,139,
0.9018,0.92952,0.29,0.82869,0.72626,0.86945,0.80435,0.79143,369,147,979,1517,369,147,
0.9018,0.92952,0.3,0.83134,0.73094,0.86856,0.80912,0.79383,360,148,978,1526,360,148,
0.9018,0.92952,0.31,0.83433,0.7366,0.86679,0.81495,0.79641,349,150,976,1537,349,150,
0.9018,0.92952,0.32,0.83533,0.73973,0.86323,0.81866,0.79672,342,154,972,1544,342,154,
0.9018,0.92952,0.33,0.83765,0.74444,0.86146,0.82344,0.79868,333,156,970,1553,333,156,
0.9018,0.92952,0.34,0.83898,0.74864,0.85702,0.82821,0.79917,324,161,965,1562,324,161,
0.9018,0.92952,0.35,0.84097,0.75254,0.85613,0.83192,0.801,317,162,964,1569,317,162,
0.9018,0.92952,0.36,0.84329,0.75789,0.85346,0.83722,0.80284,307,165,961,1579,307,165,
0.9018,0.92952,0.37,0.84529,0.76232,0.85169,0.84146,0.80453,299,167,959,1587,299,167,
0.9018,0.92952,0.38,0.84529,0.764,0.84813,0.84358,0.80387,295,171,955,1591,295,171,
0.9018,0.92952,0.39,0.84728,0.76898,0.84547,0.84836,0.80541,286,174,952,1600,286,174,
0.9018,0.92952,0.4,0.84927,0.77362,0.84369,0.8526,0.80714,278,176,950,1608,278,176,
0.9018,0.92952,0.41,0.8506,0.7775,0.84103,0.85631,0.80802,271,179,947,1615,271,179,
0.9018,0.92952,0.42,0.85292,0.782,0.84103,0.86002,0.81044,264,179,947,1622,264,179,
0.9018,0.92952,0.43,0.85359,0.78613,0.8357,0.86426,0.81016,256,185,941,1630,256,185,
0.9018,0.92952,0.44,0.85325,0.78739,0.83215,0.86585,0.80915,253,189,937,1633,253,189,
0.9018,0.92952,0.45,0.85491,0.7917,0.83037,0.86957,0.81058,246,191,935,1640,246,191,
0.9018,0.92952,0.46,0.85392,0.79266,0.82504,0.87116,0.80853,243,197,929,1643,243,197,
0.9018,0.92952,0.47,0.85425,0.79485,0.82238,0.87328,0.80838,239,200,926,1647,239,200,
