preprocessed_full_path,final_authoritative_label,class_index,pred_label_idx,pred_label_name,prob_NV,prob_MEL,prob_BCC,correct,error_type
C:\SKIN CANCER v2\final DS\images\MEL\ISIC_0000311.jpg,MEL,1,0,NV,0.5568516,0.44299114,0.00015727848,False,MEL_as_NV
C:\SKIN CANCER v2\final DS\images\MEL\ISIC_0000313.jpg,MEL,1,0,NV,0.9940904,0.0059088008,8.4446464e-07,False,MEL_as_NV
C:\SKIN CANCER v2\final DS\images\MEL\ISIC_0000513.jpg,MEL,1,0,NV,0.672957,0.31573635,0.0113066705,False,MEL_as_NV
C:\SKIN CANCER v2\final DS\images\MEL\ISIC_0009897.jpg,MEL,1,0,NV,0.67200357,0.32790413,9.228037e-05,False,MEL_as_NV
C:\SKIN CANCER v2\final DS\images\MEL\ISIC_0010860.jpg,MEL,1,0,NV,0.8772062,0.12276508,2.874352e-05,False,MEL_as_NV
C:\SKIN CANCER v2\final DS\images\MEL\ISIC_0011118.jpg,MEL,1,0,NV,0.60997874,0.33960918,0.050412122,False,MEL_as_NV
C:\SKIN CANCER v2\final DS\images\MEL\ISIC_0011350.jpg,MEL,1,0,NV,0.93743205,0.062348787,0.00021915168,False,MEL_as_NV
C:\SKIN CANCER v2\final DS\images\MEL\ISIC_0011390.jpg,MEL,1,0,NV,0.633109,0.36659506,0.00029590545,False,MEL_as_NV
C:\SKIN CANCER v2\final DS\images\MEL\ISIC_0012099_downsampled.jpg,MEL,1,0,NV,0.5519047,0.4474332,0.00066207687,False,MEL_as_NV
C:\SKIN CANCER v2\final DS\images\MEL\ISIC_0012258_downsampled.jpg,MEL,1,0,NV,0.99723035,0.002713493,5.6134497e-05,False,MEL_as_NV
C:\SKIN CANCER v2\final DS\images\MEL\ISIC_0012298_downsampled.jpg,MEL,1,0,NV,0.52939624,0.470601,2.824274e-06,False,MEL_as_NV
C:\SKIN CANCER v2\final DS\images\MEL\ISIC_0013141_downsampled.jpg,MEL,1,0,NV,0.9997447,0.00023276701,2.2473829e-05,False,MEL_as_NV
C:\SKIN CANCER v2\final DS\images\MEL\ISIC_0013258_downsampled.jpg,MEL,1,0,NV,0.99988663,0.000113298745,2.1401002e-10,False,MEL_as_NV
C:\SKIN CANCER v2\final DS\images\MEL\ISIC_0013334_downsampled.jpg,MEL,1,0,NV,0.5980232,0.40197462,2.1909411e-06,False,MEL_as_NV
