preprocessed_full_path,final_authoritative_label,class_index,pred_label_idx,pred_label_name,prob_NV,prob_MEL,prob_BCC,correct,error_type
C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000203_downsampled.jpg,NV,0,1,MEL,0.37877074,0.6101214,0.011107879,False,NV_as_MEL
C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000237.jpg,NV,0,1,MEL,0.092883915,0.90704733,6.8741916e-05,False,NV_as_MEL
C:\SKIN CANCER v2\final DS\images\NV\ISIC_0000374.jpg,NV,0,1,MEL,0.32289776,0.6770645,3.7752005e-05,False,NV_as_MEL
C:\SKIN CANCER v2\final DS\images\NV\ISIC_0009872.jpg,NV,0,2,BCC,0.08955488,0.24283595,0.66760916,False,NV_as_BCC
C:\SKIN CANCER v2\final DS\images\NV\ISIC_0009896.jpg,NV,0,1,MEL,0.15141758,0.84838563,0.00019684005,False,NV_as_MEL
C:\SKIN CANCER v2\final DS\images\NV\ISIC_0009937.jpg,NV,0,2,BCC,0.46786204,0.014660096,0.51747787,False,NV_as_BCC
C:\SKIN CANCER v2\final DS\images\NV\ISIC_0009946.jpg,NV,0,1,MEL,0.41085705,0.5886822,0.00046074818,False,NV_as_MEL
C:\SKIN CANCER v2\final DS\images\NV\ISIC_0010025.jpg,NV,0,1,MEL,0.27941248,0.72049797,8.961466e-05,False,NV_as_MEL
C:\SKIN CANCER v2\final DS\images\NV\ISIC_0010044.jpg,NV,0,1,MEL,0.044650763,0.95534027,8.988522e-06,False,NV_as_MEL
C:\SKIN CANCER v2\final DS\images\NV\ISIC_0010102.jpg,NV,0,1,MEL,0.16437139,0.81233263,0.023296025,False,NV_as_MEL
C:\SKIN CANCER v2\final DS\images\NV\ISIC_0010185.jpg,NV,0,1,MEL,0.1632619,0.6512661,0.18547206,False,NV_as_MEL
C:\SKIN CANCER v2\final DS\images\NV\ISIC_0010206.jpg,NV,0,1,MEL,0.48464176,0.5153381,2.0119109e-05,False,NV_as_MEL
C:\SKIN CANCER v2\final DS\images\NV\ISIC_0010228.jpg,NV,0,1,MEL,0.18614508,0.8138546,3.8443028e-07,False,NV_as_MEL
C:\SKIN CANCER v2\final DS\images\NV\ISIC_0010239.jpg,NV,0,1,MEL,0.43969247,0.5602125,9.501801e-05,False,NV_as_MEL
C:\SKIN CANCER v2\final DS\images\NV\ISIC_0010320.jpg,NV,0,1,MEL,0.026126474,0.9736081,0.00026543968,False,NV_as_MEL
C:\SKIN CANCER v2\final DS\images\NV\ISIC_0010326.jpg,NV,0,1,MEL,0.49020106,0.5094058,0.00039314525,False,NV_as_MEL
C:\SKIN CANCER v2\final DS\images\NV\ISIC_0010599.jpg,NV,0,1,MEL,0.35953945,0.49297613,0.14748435,False,NV_as_MEL
C:\SKIN CANCER v2\final DS\images\NV\ISIC_0011115.jpg,NV,0,1,MEL,0.47156125,0.51400954,0.014429222,False,NV_as_MEL
