epoch,train_loss,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_NV_recall,val_MEL_recall,val_BCC_recall,lr,is_best,epoch_time_s
1,0.58054,0.50108,0.77357,0.72479,0.78622,0.74832,0.772,0.67852,0.90814,0.0001,True,146.9
2,0.43266,0.45126,0.8081,0.75559,0.80176,0.77341,0.83669,0.62287,0.94572,0.0001,True,151.2
3,0.37188,0.43915,0.81042,0.76369,0.81789,0.78588,0.81283,0.72643,0.91441,0.0001,True,148.5
4,0.32702,0.41066,0.82603,0.78249,0.82317,0.80034,0.84305,0.70788,0.91858,0.0001,True,149.1
5,0.28564,0.427,0.82769,0.77815,0.81661,0.79437,0.85737,0.67388,0.91858,0.0001,False,151.6
6,0.26651,0.42234,0.83267,0.78792,0.82362,0.80282,0.86161,0.6677,0.94154,0.0001,True,152.3
7,0.24525,0.42031,0.83134,0.79788,0.8241,0.80945,0.84942,0.74189,0.881,0.0001,True,149.7
8,0.21476,0.45803,0.82304,0.78436,0.823,0.80153,0.83775,0.70015,0.93111,0.0001,False,146.2
9,0.20583,0.44742,0.8423,0.80247,0.83535,0.81688,0.86691,0.69552,0.94363,0.0001,True,151.0
10,0.19111,0.43818,0.84064,0.8045,0.82391,0.81357,0.87487,0.69706,0.89979,0.0001,False,146.8
11,0.17268,0.4635,0.83699,0.8022,0.81815,0.80983,0.87275,0.69861,0.88309,0.0001,False,146.4
12,0.15692,0.4736,0.83101,0.78763,0.82458,0.80361,0.85578,0.67852,0.93946,0.0001,False,150.3
13,0.13265,0.46037,0.84031,0.80358,0.82813,0.8147,0.87169,0.68161,0.93111,5e-05,False,151.8
14,0.11908,0.48218,0.84197,0.80371,0.82802,0.81444,0.87646,0.67233,0.93528,5e-05,False,151.2
