phase,epoch_in_phase,global_epoch,train_loss,val_loss,val_accuracy,val_precision_cancer,val_recall_cancer,val_f1_cancer,val_roc_auc,val_pr_auc,learning_rate,trainable_params,non_trainable_params
phase1_head,1,1,0.4873,0.46871,0.77324,0.66203,0.80373,0.72603,0.8651,0.8052,0.001,2562,4007548
phase1_head,2,2,0.45124,0.4589,0.77789,0.67142,0.79485,0.72794,0.86947,0.81315,0.001,2562,4007548
phase1_head,3,3,0.4541,0.46285,0.77789,0.66814,0.80639,0.73078,0.87064,0.81388,0.001,2562,4007548
phase1_head,4,4,0.44997,0.44813,0.78951,0.69129,0.78952,0.73715,0.87216,0.81501,0.001,2562,4007548
phase1_head,5,5,0.44759,0.48402,0.77025,0.65069,0.83215,0.73032,0.87118,0.80882,0.001,2562,4007548
phase1_head,6,6,0.45398,0.47539,0.76726,0.64871,0.82327,0.72564,0.87017,0.81247,0.001,2562,4007548
phase1_head,7,7,0.45073,0.46434,0.7749,0.66716,0.79396,0.72506,0.86744,0.81583,0.001,2562,4007548
phase1_head,8,8,0.44914,0.46282,0.77457,0.66161,0.81261,0.72937,0.87127,0.81773,0.001,2562,4007548
phase1_head,9,9,0.45,0.49137,0.76793,0.64494,0.84369,0.73105,0.87183,0.81348,0.001,2562,4007548
phase1_head,10,10,0.44599,0.49468,0.7656,0.64094,0.84813,0.73012,0.86721,0.80817,0.001,2562,4007548
phase2_finetune,1,11,0.4039,0.3868,0.81541,0.74359,0.77265,0.75784,0.90095,0.86808,0.0001,3701450,308660
phase2_finetune,2,12,0.33823,0.37206,0.83964,0.78834,0.78064,0.78447,0.91305,0.88222,0.0001,3701450,308660
phase2_finetune,3,13,0.30813,0.34849,0.85226,0.80593,0.79663,0.80125,0.91973,0.89304,0.0001,3701450,308660
phase2_finetune,4,14,0.28224,0.40298,0.83433,0.74666,0.84281,0.79182,0.91961,0.88506,0.0001,3701450,308660
phase2_finetune,5,15,0.25855,0.36451,0.85392,0.80141,0.80995,0.80565,0.92192,0.89287,0.0001,3701450,308660
phase2_finetune,6,16,0.23441,0.35546,0.85558,0.81154,0.79929,0.80537,0.92565,0.89092,0.0001,3701450,308660
phase2_finetune,7,17,0.21168,0.35803,0.85591,0.80245,0.81528,0.80881,0.92955,0.90232,5e-05,3701450,308660
phase2_finetune,8,18,0.19959,0.36685,0.85491,0.80406,0.80906,0.80655,0.92754,0.89858,5e-05,3701450,308660
phase2_finetune,9,19,0.19092,0.37819,0.85558,0.83317,0.76732,0.79889,0.92439,0.89471,5e-05,3701450,308660
phase2_finetune,10,20,0.17902,0.38965,0.85624,0.80691,0.80906,0.80798,0.92601,0.89341,5e-05,3701450,308660
phase2_finetune,11,21,0.16194,0.398,0.85956,0.81525,0.80728,0.81124,0.92844,0.8974,2.5e-05,3701450,308660
phase2_finetune,12,22,0.15583,0.4145,0.85857,0.80172,0.82593,0.81365,0.92704,0.89687,2.5e-05,3701450,308660
